"ID","longitude","latitude","topo","inout"
"X282",-45.15,-22.3,1326.97338867188,1
"X283",-45.1,-22.3,1036.00830078125,1
"X284",-45.05,-22.3,1019.47003173828,1
"X285",-45,-22.3,1127.04174804688,1
"X286",-44.95,-22.3,1024.59741210938,1
"X287",-44.9,-22.3,1019.50054931641,1
"X288",-44.85,-22.3,1195.14038085938,1
"X289",-44.8,-22.3,1545.41674804688,1
"X290",-44.75,-22.3,1856.36279296875,1
"X291",-44.7,-22.3,1873.53442382812,1
"X292",-44.65,-22.3,1921.07507324219,1
"X293",-44.6,-22.3,1688.39477539062,1
"X294",-44.55,-22.3,1360.35498046875,1
"X295",-44.5,-22.3,1094.85290527344,1
"X296",-46.65,-22.25,1039.05505371094,1
"X297",-46.6,-22.25,971.791748046875,1
"X298",-46.55,-22.25,901.643432617188,1
"X299",-46.5,-22.25,876.852783203125,1
"X300",-46.45,-22.25,869.031982421875,1
"X301",-46.4,-22.25,915.750244140625,1
"X302",-46.35,-22.25,947.919189453125,1
"X303",-46.3,-22.25,879.581665039062,1
"X304",-46.25,-22.25,864.428466796875,1
"X305",-46.2,-22.25,864.428344726562,1
"X306",-46.15,-22.25,864.428466796875,1
"X307",-46.1,-22.25,864.428466796875,1
"X308",-46.05,-22.25,864.428466796875,1
"X309",-46,-22.25,864.428466796875,1
"X310",-45.95,-22.25,864.428466796875,1
"X311",-45.9,-22.25,864.428466796875,1
"X312",-45.85,-22.25,864.428466796875,1
"X313",-45.8,-22.25,864.428466796875,1
"X314",-45.75,-22.25,888.744812011719,1
"X315",-45.7,-22.25,864.428466796875,1
"X316",-45.65,-22.25,884.575500488281,1
"X317",-45.6,-22.25,999.379089355469,1
"X318",-45.55,-22.25,1137.06115722656,1
"X319",-45.5,-22.25,1221.7900390625,1
"X320",-45.45,-22.25,1266.86682128906,1
"X321",-45.4,-22.25,1344.86730957031,1
"X322",-45.35,-22.25,1358.08618164062,1
"X323",-45.3,-22.25,1396.02709960938,1
"X324",-45.25,-22.25,1574.34680175781,1
"X325",-45.2,-22.25,1519.51428222656,1
"X326",-45.15,-22.25,1117.06188964844,1
"X327",-45.1,-22.25,1001.22302246094,1
"X328",-45.05,-22.25,986.971069335938,1
"X329",-45,-22.25,986.970947265625,1
"X330",-44.95,-22.25,988.876403808594,1
"X331",-44.9,-22.25,1030.23901367188,1
"X332",-44.85,-22.25,1117.33532714844,1
"X333",-44.8,-22.25,1529.31896972656,1
"X334",-44.75,-22.25,1706.19494628906,1
"X335",-44.7,-22.25,1605.22375488281,1
"X336",-44.65,-22.25,1702.57495117188,1
"X337",-44.6,-22.25,1713.65014648438,1
"X338",-44.55,-22.25,1593.38525390625,1
"X339",-44.5,-22.25,1320.6083984375,1
"X340",-44.45,-22.25,1246.58239746094,1
"X341",-44.4,-22.25,1262.75622558594,1
"X342",-44.35,-22.25,1186.98522949219,1
"X343",-44.3,-22.25,938.906982421875,1
"X344",-44.25,-22.25,718.959716796875,1
"X345",-44.2,-22.25,669.926879882812,1
"X346",-46.65,-22.2,1150.19763183594,1
"X347",-46.6,-22.2,1099.20690917969,1
"X348",-46.55,-22.2,1040.20837402344,1
"X349",-46.5,-22.2,1061.36596679688,1
"X350",-46.45,-22.2,1073.7861328125,1
"X351",-46.4,-22.2,1063.34765625,1
"X352",-46.35,-22.2,1109.791015625,1
"X353",-46.3,-22.2,1003.0107421875,1
"X354",-46.25,-22.2,910.544555664062,1
"X355",-46.2,-22.2,903.31396484375,1
"X356",-46.15,-22.2,871.173095703125,1
"X357",-46.1,-22.2,867.729248046875,1
"X358",-46.05,-22.2,864.757934570312,1
"X359",-46,-22.2,866.237121582031,1
"X360",-45.95,-22.2,864.428405761719,1
"X361",-45.9,-22.2,864.428527832031,1
"X362",-45.85,-22.2,864.428466796875,1
"X363",-45.8,-22.2,864.428405761719,1
"X364",-45.75,-22.2,864.428466796875,1
"X365",-45.7,-22.2,872.122253417969,1
"X366",-45.65,-22.2,1011.26831054688,1
"X367",-45.6,-22.2,1155.66491699219,1
"X368",-45.55,-22.2,1244.40100097656,1
"X369",-45.5,-22.2,1232.12133789062,1
"X370",-45.45,-22.2,1255.67907714844,1
"X371",-45.4,-22.2,1260.73583984375,1
"X372",-45.35,-22.2,1256.22741699219,1
"X373",-45.3,-22.2,1260.99560546875,1
"X374",-45.25,-22.2,1286.85717773438,1
"X375",-45.2,-22.2,1388.19897460938,1
"X376",-45.15,-22.2,1202.263671875,1
"X377",-45.1,-22.2,1009.46557617188,1
"X378",-45.05,-22.2,986.971008300781,1
"X379",-45,-22.2,989.510620117188,1
"X380",-44.95,-22.2,1047.30249023438,1
"X381",-44.9,-22.2,1169.18493652344,1
"X382",-44.85,-22.2,1449.01806640625,1
"X383",-44.8,-22.2,1762.61840820312,1
"X384",-44.75,-22.2,1774.79907226562,1
"X385",-44.7,-22.2,1573.7109375,1
"X386",-44.65,-22.2,1559.81225585938,1
"X387",-44.6,-22.2,1642.24829101562,1
"X388",-44.55,-22.2,1664.9462890625,1
"X389",-44.5,-22.2,1455.19860839844,1
