V1;V2
-41,049243;-18,97432497
-41,04863784;-18,97425999
-41,04757512;-18,974268
-41,047092;-18,97436304
-41,046633;-18,97438896
-41,04603;-18,97457697
-41,04559584;-18,97474104
-41,04494712;-18,97515999
-41,04456192;-18,97543899
-41,04415404;-18,97574004
-41,04406116;-18,97624701
-41,04406512;-18,976707
-41,043852;-18,97732899
-41,04363708;-18,97772202
-41,04342396;-18,97820604
-41,04328212;-18,97864398
-41,04316512;-18,97915104
-41,043024;-18,97968096
-41,04283392;-18,98014203
-41,042547;-18,98055801
-41,04213912;-18,98085996
-41,04170604;-18,98109297
-41,04119808;-18,98114202
-41,04052092;-18,98114697
-41,03996508;-18,981036
-41,039505;-18,98097003
-41,03904492;-18,980928
-41,03856108;-18,98081604
-41,03802792;-18,98072802
-41,03747208;-18,98066304
-41,036625;-18,98050797
-41,035995;-18,98035101
-41,03551116;-18,980262
-41,03502588;-18,98010504
-41,03456616;-18,97999299
-41,03412912;-18,97976601
-41,03364384;-18,97956198
-41,03318412;-18,97942797
-41,03284212;-18,97906203
-41,03252496;-18,97862697
-41,03228016;-18,978192
-41,032107;-18,97768701
-41,03190792;-18,97704504
-41,03168688;-18,976518
-41,03151408;-18,97608204
-41,03119584;-18,97557804
-41,03087904;-18,97514298
-41,03053704;-18,97473204
-41,03026812;-18,97429698
-41,02985412;-18,97393203
-41,029272;-18,97372899
-41,02869204;-18,97373304
-41,02811208;-18,97366797
-41,02753104;-18,97367202
-41,02707204;-18,973629
-41,02644312;-18,97363296
-41,02576704;-18,97368399
-41,02521084;-18,97371099
-41,02460712;-18,97376103
-41,02414884;-18,97383303
-41,02349616;-18,97386102
-41,02301196;-18,97379496
-41,02057116;-18,97381197
-41,02003908;-18,97374699
-41,01950592;-18,97363503
-41,01897312;-18,97347798
-41,01853608;-18,97329699
-41,01810012;-18,97313904
-41,017617;-18,97311996
-41,017086;-18,97333002
-41,01679908;-18,97370001
-41,01663384;-18,97427601
-41,01661404;-18,97478199
-41,01676308;-18,97531002
-41,01684012;-18,97593003
-41,01684408;-18,976482
-41,016969;-18,97696404
-41,01702084;-18,97747002
-41,01726816;-18,97815798
-41,01741792;-18,97880103
-41,01759108;-18,97923699
-41,01790788;-18,97964901
-41,01832116;-18,97989903
-41,019048;-18,98014698
-41,01948504;-18,98035101
-41,01987492;-18,98076204
-41,02019208;-18,98115102
-41,020605;-18,98146998
-41,02106688;-18,98174304
-41,021793;-18,98185203
-41,02220592;-18,98214903
-41,02266888;-18,98260497
-41,02313004;-18,98287803
-41,02344684;-18,98328996
-41,02398108;-18,98351604
-41,02439292;-18,98371998
-41,02499988;-18,98396901
-41,025726;-18,98417097
-41,02611588;-18,98453601
-41,02665192;-18,98501499
-41,02701696;-18,98538102
-41,02743096;-18,98572302
-41,02782012;-18,98608797
-41,02821;-18,98647596
-41,02855308;-18,98702604
-41,028894;-18,98739099
-41,02918704;-18,98773398
-41,02950384;-18,98812296
-41,02989408;-18,98855703
-41,03023608;-18,988992
-41,03050392;-18,98935803
-41,03094384;-18,98988399
-41,03147808;-18,990225
-41,03189208;-18,990567
-41,03235216;-18,99074799
-41,03303112;-18,99095004
-41,03344404;-18,99122301
-41,03385696;-18,99144999
-41,03424612;-18,991746
-41,03475516;-18,99201897
-41,03529012;-18,99233703
-41,03577504;-18,99258696
-41,03623584;-18,99272097
-41,03672004;-18,99287901
-41,03720604;-18,99315198
-41,03769204;-18,99347004
-41,03815284;-18,99376596
-41,03861508;-18,99401598
-41,03905284;-18,99440298
-41,03941788;-18,99474597
-41,03997696;-18,99504099
-41,040414;-18,99531396
-41,04077904;-18,99558702
-41,041215;-18,995814
-41,04162792;-18,99604098
-41,04204192;-18,99640602
-41,04245484;-18,99672498
-41,04289188;-18,99695196
-41,04337788;-18,99717903
-41,04379008;-18,99738297
-41,04432396;-18,99767799
-41,04473796;-18,99795096
-41,045247;-18,99824598
-41,04568404;-18,99840402
-41,04609588;-18,99860796
-41,04655704;-18,99874296
-41,04701712;-18,998901
-41,04750312;-18,99915003
-41,04794016;-18,99944604
-41,04842616;-18,999765
-41,04891108;-18,999945
-41,05022904;-19,00058499
-41,05221804;-19,00124496
-41,05257804;-19,00152396
-41,05301184;-19,00173501
-41,05351908;-19,00178496
-41,05397916;-19,00176597
-41,054463;-19,00174698
-41,05492092;-19,00186596
-41,05542708;-19,002123
-41,05573596;-19,00263204
-41,05599912;-19,00300203
-41,05630908;-19,00348803
-41,05671588;-19,003905
-41,05722096;-19,00423197
